t,vx,vz,vy,v_ref,x,y,z,throttle,kp,ki,kd
15:06.2,0.00899351,-0.010176515,-0.2003123,0,0.69279873,0.27026808,3.6490498,0,0.03,0,0.0002
15:06.2,0.020762866,-0.004727081,-0.30616245,0,0.69245774,0.27034572,3.654078,0,0.03,0,0.0002
15:06.2,0.020762866,-0.004727081,-0.30616245,0,0.69245774,0.27034572,3.654078,0,0.03,0,0.0002
15:06.3,0.014487593,-0.00268523,-0.013743758,0,0.69189394,0.27051428,3.65698,0,0.03,0,0.0002
15:06.3,0.010710589,-0.043974116,-0.26992,0,0.6917583,0.27107126,3.660399,0,0.03,0,0.0002
15:06.3,0.010710589,-0.043974116,-0.26992,0,0.6917583,0.27107126,3.660399,0,0.03,0,0.0002
15:06.4,0.005614363,-0.014332538,-0.028262073,0,0.6915698,0.2716804,3.6623683,0,0.03,0,0.0002
15:06.4,-0.002041731,0.006385399,-0.08192101,0,0.69160944,0.27155644,3.6639585,0,0.03,0,0.0002
15:06.4,-0.002041731,0.006385399,-0.08192101,0,0.69160944,0.27155644,3.6639585,0,0.03,0,0.0002
15:06.5,-0.000969497,-8.80E-05,-0.021110022,0,0.6916523,0.27149785,3.6653202,0,0.03,0,0.0002
15:06.5,0.000120278,0.03523518,-0.11616337,0,0.69165087,0.27108753,3.666673,0,0.03,0,0.0002
15:06.5,0.000120278,0.03523518,-0.11616337,0,0.69165087,0.27108753,3.666673,0,0.03,0,0.0002
15:06.6,-0.000612923,0.006552612,-0.017771864,0,0.6916684,0.27070236,3.6678147,0,0.03,0,0.0002
15:06.6,-0.000183559,0.017734664,-0.04276466,0,0.69167084,0.27046627,3.668384,0,0.03,0,0.0002
15:06.6,-0.000183559,0.017734664,-0.04276466,0,0.69167084,0.27046627,3.668384,0,0.03,0,0.0002
15:06.7,-0.000441761,0.004106371,-0.008306448,0,0.6916815,0.27025527,3.668836,0,0.03,0,0.0002
15:06.7,-0.006092918,0.004430617,-0.017866872,0,0.69179213,0.2701748,3.6691606,0,0.03,0,0.0002
15:06.7,-0.006092918,0.004430617,-0.017866872,0,0.69179213,0.2701748,3.6691606,0,0.03,0,0.0002
15:06.8,-0.006092918,0.004430617,-0.017866872,0,0.69179213,0.2701748,3.6691606,0,0.03,0,0.0002
15:06.8,0.009910248,-0.003418025,-0.01552328,0,0.69178975,0.27015752,3.6695871,0,0.03,0,0.0002
15:06.8,0.009910248,-0.003418025,-0.01552328,0,0.69178975,0.27015752,3.6695871,0,0.03,0,0.0002
15:06.9,0.004889713,-0.002042551,-0.007181507,0,0.6917193,0.27018696,3.6696906,0,0.03,0,0.0002
15:06.9,0.008642951,-0.003449472,-0.018162722,0,0.6915803,0.27024412,3.669951,0,0.03,0,0.0002
15:06.9,0.008642951,-0.003449472,-0.018162722,0,0.6915803,0.27024412,3.669951,0,0.03,0,0.0002
15:07.0,0.008642951,-0.003449472,-0.018162722,0,0.6915803,0.27024412,3.669951,0,0.03,0,0.0002
15:07.0,0.006430677,-0.006895445,-0.028100038,0,0.6914177,0.27035642,3.670465,0,0.03,0,0.0002
15:07.0,0.006430677,-0.006895445,-0.028100038,0,0.6914177,0.27035642,3.670465,0,0.03,0,0.0002
15:07.1,0.001283936,-0.001299181,-0.005881038,0,0.6913493,0.27042845,3.670775,0,0.03,0,0.0002
15:07.1,0.004073876,-0.002706929,-0.013909679,0,0.691275,0.27047783,3.6710286,0,0.03,0,0.0002
15:07.1,0.004073876,-0.002706929,-0.013909679,0,0.691275,0.27047783,3.6710286,0,0.03,0,0.0002
15:07.2,0.004073876,-0.002706929,-0.013909679,0,0.691275,0.27047783,3.6710286,0,0.03,0,0.0002
15:07.2,0.009564641,-0.005690701,-0.038751245,0,0.6910879,0.27057862,3.6717122,0,0.03,0,0.0002
15:07.2,0.009564641,-0.005690701,-0.038751245,0,0.6910879,0.27057862,3.6717122,0,0.03,0,0.0002
15:07.3,0.004696702,-0.002315069,-0.018919935,0,0.69101644,0.27061385,3.6720002,0,0.03,0,0.0002
15:07.3,0.009010838,-0.002105268,-0.040877495,0,0.69086814,0.27065,3.6726513,0,0.03,0,0.0002
15:07.3,0.009010838,-0.002105268,-0.040877495,0,0.69086814,0.27065,3.6726513,0,0.03,0,0.0002
15:07.4,0.001483466,-0.000131079,-0.006291813,0,0.6907679,0.27066404,3.673093,0,0.03,0,0.0002
15:07.4,0.008673219,-0.002346344,-0.044266902,0,0.6906583,0.2706937,3.6736526,0,0.03,0,0.0002
15:07.4,0.008673219,-0.002346344,-0.044266902,0,0.6906583,0.2706937,3.6736526,0,0.03,0,0.0002
15:07.5,0.005377772,-0.001406624,-0.026736729,0,0.69059193,0.27071106,3.6739826,0,0.03,0,0.0002
15:07.5,0.0071653,-0.004257989,-0.038384166,0,0.690465,0.2707736,3.6746354,0,0.03,0,0.0002
15:07.5,0.0071653,-0.004257989,-0.038384166,0,0.690465,0.2707736,3.6746354,0,0.03,0,0.0002
